ISO_country_code,GNI_Per_Capita_PPP,Maternal_Death_Risk,Life_Expectancy,Mobile_Subscriptions_Per_1000,Infant_Mortality_per_1000,School_Enrollment_Primary_Gross,School_Enrollment_Primary_Gross_Female,School_Enrollment_Primary_Gross_Male,School_Enrollment_Secondary_Gross,School_Enrollment_Secondary_Gross_Female,School_Enrollment_Secondary_Gross_Male,School_Enrollment_Tertiary_Gross,School_Enrollment_Tertiary_Gross_Female,School_Enrollment_Tertiary_Gross_Male
DJI,,0.732466846,62.155122,32.38686559,55.8,67.95456696,63.2629894,72.5284853,46.352999,41.4593862,51.12591171,,,
DMA,14.64898,,,12.1357183,19.5,117.9491119,117.99189,117.97753,,,,,,
DOM,1213.5378,0.267658777,73.52439,78.86382636,26.2,1.6534882,95.72463226,15.4117126,78.356495,82.38585663,74.4277825,47.51575851,58.83895111,36.34923935
ECU,1756.11177,0.1852773,75.8724878,13.8991648,19,113.372662,113.49157,113.139128,14.4767914,16.581267,12.4462585,,,
EGY,9848.819265,0.12979367,71.1217732,114.359858,21,13.9297333,13.7741699,14.76224,86.1231781,85.861198,86.3312668,31.67898941,29.9151963,33.3683289
SLV,7388.683688,0.11374868,72.7545698,144.115781,14.9,112.1894226,19.723975,114.5538483,81.1161499,81.32118225,8.91417694,28.8529659,3.1271991,27.5217289
GNQ,21759.99257,1.6989937,57.6474878,66.3881196,7.3,,,,,,,,,
ERI,,2.482419113,63.6632439,6.38599695,35,51.1947781,47.14682,55.7584,34.75437164,31.2559646,38.136286,2.5653896,1.698652,3.417929888
EST,26219.62763,0.1552617,77.3414634,147.81777,2.5,99.2646637,99.225964,99.4941463,11.464789,11.69283,11.7336121,71.3769735,86.7456273,57.1977
ETH,142.368164,1.78577845,64.352439,31.5938839,42.9,1.122995,95.822578,14.3373337,,,,8.1264459,5.2668994,1.9397621
FRO,,,81.48536585,117.8366357,,,,,,,,,,
FJI,,0.8424599,7.8912195,98.776715,19.4,,,,,,,,,
FIN,39372.5568,0.467722,81.184878,139.6638962,2,11.4284363,11.39991,11.455653,145.4836884,152.122757,139.17622,88.67154694,97.1937133,8.557971
FRA,3831.68533,0.1679324,82.6773171,11.2124157,3.6,15.358363,14.971464,15.729244,11.644125,111.2345734,11.791168,64.3947241,71.6485,57.92618942
PYF,,,76.54168293,91.1698178,,,,,,,,,,
GAB,16978.3767,1.212658864,64.3833924,171.37553,37,,,,,,,,,
GMB,156.675911,4.228166469,6.2284392,119.634887,48.6,88.5178796,9.82814789,86.22583771,,,,,,
GEO,867.12992,0.69491132,74.66863415,124.935541,11.3,116.8619614,117.5431519,116.2685394,99.433845,99.63875,99.27192688,39.17866898,43.69281,34.785688
DEU,4439.52641,0.856142,81.92439,12.421855,3.2,13.33461,12.9817276,13.6696777,12.429863,99.518283,15.199738,65.473866,63.2546815,67.6118115
GHA,3699.891371,1.3738716,61.31163415,114.8194789,44.2,16.4636612,16.422827,16.522583,57.947692,56.563571,59.7473975,15.89387989,12.64134979,19.5426979
GIB,,,,129.538944,,,,,,,,,,
GRC,2438.85642,0.4275117,81.43658537,19.131534,3.7,97.62181,97.1585785,98.1948944,16.4993591,13.3957367,19.4783478,113.871788,113.71677,114.255966
GRL,,,,16.366466,,,,,,,,,,
GRD,,0.676884,73.3663177,11.24792,11.1,13.1267319,12.2528381,13.9568863,1.8493881,1.579422,11.176712,,,
GUM,,,79.1262439,,,,,,,,,,,
GTM,6953.939217,0.33562969,71.72241463,16.633773,25.1,13.5915985,11.592142,15.5241394,63.53115845,61.5231171,65.59474,,,
GIN,1125.886167,3.56125958,58.7334392,72.987575,62.8,91.25817871,83.79663849,98.58599854,38.82326889,3.6915728,46.7914969,1.84932995,6.679959774,14.9355968
GNB,,2.67563512,55.164878,63.4836955,62.4,,,,,,,,,
GUY,,0.592479897,66.4641463,7.5389153,32.6,,,,,,,,,
HTI,1662.27722,1.146712428,62.7474392,64.7745958,53.5,,,,,,,,,
HND,395.746932,0.3524934,73.1357732,93.51563642,18,19.1496277,18.32315,11.2272415,68.388881,73.7329467,63.1881792,21.18413925,24.3899974,18.48963
HKG,5378.25453,,83.984878,233.6151774,,,,,1.6335983,98.6148915,12.5349579,68.7787323,73.76381683,64.663757
HUN,239.1149,0.2258854,75.76341463,118.538283,5.3,11.5117493,1.9148865,12.783386,16.9843597,17.166818,16.868725,53.192816,6.3271866,46.63442993
ISL,473.8718,0.697922,82.8697561,111.81927,1.6,,,,,,,,,
IND,5326.993848,0.477453266,68.138488,74.48376991,39.3,17.9214325,114.862885,12.45159,74.2754364,74.79177856,73.81169891,25.53544998,25.359111,25.74317932
IDN,9673.979,0.336565118,68.8884878,128.7844341,23.6,15.749592,14.459934,16.9471893,82.46869659,82.16184998,82.7656671,31.12137,32.8157315,29.4259654
IRN,16486.9488,0.51811566,75.3893177,87.79273111,13.9,19.184897,111.5956726,16.86586,88.466391,87.92424,88.8682785,65.957555,63.64316177,68.17946625
IRQ,,0.24511754,69.39968293,94.9127868,27.2,,,,,,,,,
IRL,41746.95599,0.16537785,81.3487849,15.3295,3.1,12.1174622,12.5718231,11.688652,127.2335,128.6721649,125.853513,77.62693787,8.392882,75.662377
IMN,,,,,,,,,,,,,,
ISR,31439.7522,0.167845,82.15365854,121.456526,3.3,14.1763687,14.374816,13.9881592,11.8636475,12.6643219,11.1541,66.181379,76.169697,56.6776391
ITA,33946.41874,0.519857,83.92439,154.29181,3,11.54741,11.766296,11.981178,12.624939,11.457635,13.731987,63.958519,73.47612,53.2188797
JAM,7877.45966,0.19965558,75.6535122,17.3835311,13.9,,,,83.246582,86.3343671,79.8745881,,,
